&b / °,R_0 / 1/s,R_1 / 1/s,R_2 / 1/s,R_3 / 1/s,R_4 / 1/s,R_5 / 1/s,R_6 / 1/s,R_7 / 1/s,R_8 / 1/s,R_9 / 1/s
"17,1",,,,,,,,,,
"17,2",,,,,,,,,,
"17,3",,,,,,,,,,
"17,4",,,,,,,,,,
"17,5",,,,,,,,,,
"17,6",,,,,,,,,,
"17,7",,,,,,,,,,
"17,8",,,,,,,,,,
"17,9",,,,,,,,,,
18,,,,,,,,,,
"18,1",,,,,,,,,,
"18,2",,,,,,,,,,
"18,3",,,,,,,,,,
"18,4",,,,,,,,,,
"18,5",,,,,,,,,,
"18,6",,,,,,,,,,
"18,7",,,,,,,,,,
"18,8",,,,,,,,,,
"18,9",,,,,,,,,,
19,,,,,,,,,,
"19,1",,,,,,,,,,
"19,2",,,,,,,,,,
"19,3",,,,,,,,,,
"19,4",,,,,,,,,,
"19,5",,,,,,,,,,
"19,6",,,,,,,,,,
"19,7",,,,,,,,,,
"19,8",,,,,,,,,,
"19,9",,,,,,,,,,
20,,,,,,,,,,
"20,1",,,,,,,,,,
"20,2",,,,,,,,,,
"20,3",,,,,,,,,,
"20,4",,,,,,,,,,
"20,5",,,,,,,,,,
"20,6",,,,,,,,,,
"20,7",,,,,,,,,,
"20,8",,,,,,,,,,
"20,9",,,,,,,,,,
21,,,,,,,,,,
"21,1",,,,,,,,,,
"21,2",,,,,,,,,,
"21,3",,,,,,,,,,
"21,4",,,,,,,,,,
"21,5",,,,,,,,,,
"21,6",,,,,,,,,,
"21,7",,,,,,,,,,
"21,8",,,,,,,,,,
"21,9",,,,,,,,,,
22,,,,,,,,,,
"22,1",,,,,,,,,,
"22,2",,,,,,,,,,
"22,3",,,,,,,,,,
"22,4",,,,,,,,,,
"22,5",,,,,,,,,,
"22,6",,,,,,,,,,
"22,7",,,,,,,,,,
"22,8",,,,,,,,,,
"22,9",,,,,,,,,,
23,,,,,,,,,,
"23,1",,,,,,,,,,
"23,2",,,,,,,,,,
"23,3",,,,,,,,,,
"23,4",,,,,,,,,,
"23,5",,,,,,,,,,
"23,6",,,,,,,,,,
"23,7",,,,,,,,,,
"23,8",,,,,,,,,,
"23,9",,,,,,,,,,
24,,,,,,,,,,
"24,1",,,,,,,,,,
"24,2",,,,,,,,,,
"24,3",,,,,,,,,,
"24,4",,,,,,,,,,
"24,5",,,,,,,,,,
"24,6",,,,,,,,,,
"24,7",,,,,,,,,,
"24,8",,,,,,,,,,
"24,9",,,,,,,,,,
25,,,,,,,,,,
